# SCORE: target × method × node (y @ tree top, bind bottom_d)
# nodes: 16 low-nibble sweep; 14 evaluable
# eps=1e-02

# Summary (eps=1e-02)

| target | best_mlp_in | best_fourier_in | best_eml_in | best_eml_byte | eml_pass_n | winner_tes | winner_in_rmse |
|--------|-------------|-----------------|-------------|---------------|-----------|------------|----------------|
| exp | 8.3913e-05 | 1.1057e-02 | 9.5013e-01 | 5 | 0/14 | eml b=9 | mlp |
| exp_sin | 1.6142e-04 | 1.7562e-02 | 9.5421e-01 | 11 | 0/14 | eml b=9 | mlp |
| info_pattern | 8.9370e-02 | 7.5209e-04 | 6.0585e-01 | 14 | 0/14 | fourier | fourier |
| log | 3.6508e-04 | 4.9034e-03 | 5.9322e-01 | 3 | 0/14 | eml b=1 | mlp |
| sin | 2.5585e-04 | 5.5819e-04 | 4.6191e-01 | 13 | 0/14 | fourier | mlp |
| sin_exp | 3.5531e-05 | 2.5730e-03 | 2.0688e-01 | 15 | 0/14 | fourier | mlp |
| stock_pattern | 8.5148e-03 | 6.0242e-03 | 1.0458e+00 | 9 | 0/14 | eml b=9 | fourier |

# Detail

| target | method | byte | n_eml | x_slot | bind_leaf | in_rmse | ood_rmse | ood_ratio | n_params | complexity | compute | steps | pass | TES |
| sin_exp | fourier |  |  |  |  | 2.5730e-03 | 5.4355e-01 | 211.25 | 18 | 18.00 | 1.14e+03 | 60 | Y | 8.7494e-04 |
| sin_exp | eml | 1 | 1 | L | 0 | 2.0309e+00 | 1.6947e+00 | 0.83 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.9343e-04 |
| sin_exp | eml | 2 | 2 | L | 0 | 8.4788e+47 | 1.7741e+45 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 2.7791e-52 |
| sin_exp | eml | 3 | 3 | L | 0 | 2.7843e+00 | 2.7774e+00 | 1.00 | 5 | 21.47 | 1.07e+04 | FAIL | N | 2.4613e-05 |
| sin_exp | eml | 4 | 4 | L | 0 | 1.4091e+00 | 3.2703e+00 | 2.32 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.4770e-05 |
| sin_exp | eml | 5 | 5 | L | 0 | 1.7554e+00 | 7.4366e-01 | 0.42 | 7 | 150.20 | 7.51e+04 | FAIL | N | 4.8325e-06 |
| sin_exp | eml | 6 | 6 | L | 0 | 1.0595e+00 | 4.8351e+00 | 4.56 | 8 | 405.37 | 2.03e+05 | FAIL | N | 2.3956e-06 |
| sin_exp | eml | 7 | 7 | L | 0 | 3.0518e-01 | 6.9093e-01 | 2.26 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 1.3947e-06 |
| sin_exp | eml | 9 | 1 | R | 0 | 2.0577e+00 | 2.2255e+00 | 1.08 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.9174e-04 |
| sin_exp | eml | 10 | 2 | R | 0 | 1.2161e+00 | 9.0768e-01 | 0.75 | 4 | 8.49 | 4.24e+03 | FAIL | N | 1.0633e-04 |
| sin_exp | eml | 11 | 3 | R | 0 | 1.5307e+00 | 8.4644e-01 | 0.55 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.6805e-05 |
| sin_exp | eml | 12 | 4 | R | 0 | 1.7700e+00 | 2.2357e+00 | 1.26 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.2845e-05 |
| sin_exp | eml | 13 | 5 | R | 0 | 5.6827e-01 | 1.9607e+00 | 3.45 | 7 | 150.20 | 7.51e+04 | FAIL | N | 8.4903e-06 |
| sin_exp | eml | 14 | 6 | R | 0 | 1.5157e+00 | 1.0666e+00 | 0.70 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.9612e-06 |
| sin_exp | eml | 15 | 7 | R | 0 | 2.0688e-01 | 8.9787e-01 | 4.34 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 1.5083e-06 |
| exp_sin | mlp |  |  |  |  | 1.6142e-04 | 2.7191e-01 | 1684.52 | 13 | 13.00 | 1.10e+04 | 785 | Y | 9.0977e-05 |
| exp_sin | fourier |  |  |  |  | 1.7562e-02 | 1.7476e+00 | 99.51 | 34 | 34.00 | 1.75e+04 | FAIL | N | 5.6157e-05 |
| exp_sin | eml | 1 | 1 | L | 0 | 2.6196e+00 | 3.3236e+00 | 1.27 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.6197e-04 |
| exp_sin | eml | 2 | 2 | L | 0 | 2.2196e+25 | 4.6443e+22 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 1.0616e-29 |
| exp_sin | eml | 3 | 3 | L | 0 | 3.6726e+00 | 4.8246e+00 | 1.31 | 5 | 21.47 | 1.07e+04 | FAIL | N | 1.9935e-05 |
| exp_sin | eml | 4 | 4 | L | 0 | 2.2818e+00 | 6.7468e+00 | 2.96 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.0842e-05 |
| exp_sin | eml | 5 | 5 | L | 0 | 2.9149e+00 | 2.1617e+00 | 0.74 | 7 | 150.20 | 7.51e+04 | FAIL | N | 3.4012e-06 |
| exp_sin | eml | 6 | 6 | L | 0 | 1.0313e+00 | 6.0501e-01 | 0.59 | 8 | 405.37 | 2.03e+05 | FAIL | N | 2.4288e-06 |
| exp_sin | eml | 7 | 7 | L | 0 | 2.0911e+00 | 1.7158e+00 | 0.82 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 5.8889e-07 |
| exp_sin | eml | 9 | 1 | R | 0 | 1.7463e+00 | 3.4065e+00 | 1.95 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.1347e-04 |
| exp_sin | eml | 10 | 2 | R | 0 | 3.3359e+00 | 4.0550e+00 | 1.22 | 4 | 8.49 | 4.24e+03 | FAIL | N | 5.4345e-05 |
| exp_sin | eml | 11 | 3 | R | 0 | 9.5421e-01 | 6.0380e-01 | 0.63 | 5 | 21.47 | 1.07e+04 | FAIL | N | 4.7664e-05 |
| exp_sin | eml | 12 | 4 | R | 0 | 3.1993e+00 | 2.9083e+00 | 0.91 | 6 | 56.21 | 2.81e+04 | FAIL | N | 8.4734e-06 |
| exp_sin | eml | 13 | 5 | R | 0 | 2.1390e+00 | 1.5032e+00 | 0.70 | 7 | 150.20 | 7.51e+04 | FAIL | N | 4.2419e-06 |
| exp_sin | eml | 14 | 6 | R | 0 | 1.9003e+00 | 1.1691e+00 | 0.62 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.7011e-06 |
| exp_sin | eml | 15 | 7 | R | 0 | 1.2458e+00 | 7.7735e-01 | 0.62 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 8.1053e-07 |
| stock_pattern | mlp |  |  |  |  | 8.5148e-03 | 6.9609e+00 | 817.50 | 193 | 193.00 | 1.96e+07 | 100881 | Y | 5.0665e-08 |
| stock_pattern | fourier |  |  |  |  | 6.0242e-03 | 3.3240e+00 | 551.78 | 66 | 66.00 | 3.10e+04 | 462 | Y | 3.2113e-05 |
| stock_pattern | eml | 1 | 1 | L | 0 | 3.1876e+00 | 5.8039e+00 | 1.82 | 3 | 3.41 | 1.71e+03 | FAIL | N | 1.4000e-04 |
| stock_pattern | eml | 2 | 2 | L | 0 | 2.4575e+16 | 5.6237e+13 | 0.00 | 4 | 8.49 | 4.24e+03 | FAIL | N | 9.5883e-21 |
| stock_pattern | eml | 3 | 3 | L | 0 | 1.8674e+00 | 1.4485e+00 | 0.78 | 5 | 21.47 | 1.07e+04 | FAIL | N | 3.2484e-05 |
| stock_pattern | eml | 4 | 4 | L | 0 | 2.4452e+00 | 1.8116e+00 | 0.74 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.0328e-05 |
| stock_pattern | eml | 5 | 5 | L | 0 | 1.7371e+00 | 1.9945e+00 | 1.15 | 7 | 150.20 | 7.51e+04 | FAIL | N | 4.8646e-06 |
| stock_pattern | eml | 6 | 6 | L | 0 | 1.8794e+00 | 2.0674e+00 | 1.10 | 8 | 405.37 | 2.03e+05 | FAIL | N | 1.7135e-06 |
| stock_pattern | eml | 7 | 7 | L | 0 | 1.5405e+00 | 1.7171e+00 | 1.11 | 9 | 1098.71 | 5.49e+05 | FAIL | N | 7.1651e-07 |
| stock_pattern | eml | 9 | 1 | R | 0 | 1.0458e+00 | 2.5139e+00 | 2.40 | 3 | 3.41 | 1.71e+03 | FAIL | N | 2.8657e-04 |
| stock_pattern | eml | 10 | 2 | R | 0 | 2.1569e+00 | 3.7682e+00 | 1.75 | 4 | 8.49 | 4.24e+03 | FAIL | N | 7.4641e-05 |
| stock_pattern | eml | 11 | 3 | R | 0 | 3.4326e+00 | 2.1377e+00 | 0.62 | 5 | 21.47 | 1.07e+04 | FAIL | N | 2.1013e-05 |
| stock_pattern | eml | 12 | 4 | R | 0 | 1.4066e+00 | 1.7871e+00 | 1.27 | 6 | 56.21 | 2.81e+04 | FAIL | N | 1.4785e-05 |
| stock_pattern | eml | 13 | 5 | R | 0 | 2.9945e+00 | 3.0561e+00 | 1.02 | 7 | 150.20 | 7.51e+04 | FAIL | N | 3.3334e-06 |
